"country","happiness_score","gpd_per_capita","social_support","healthy_life_expectancy","freedom_to_make_life_choices","latitude","longtitude"
"Afghanistan",3.203,0.35,0.517,0.361,0,33,65
"Albania",4.719,0.947,0.848,0.874,0.383,41,20
"Algeria",5.211,1.002,1.16,0.785,0.086,28,3
"Argentina",6.086,1.092,1.432,0.881,0.471,-34,-64
"Armenia",4.559,0.85,1.055,0.815,0.283,40,45
"Australia",7.228,1.372,1.548,1.036,0.557,-27,133
"Austria",7.246,1.376,1.475,1.016,0.532,47.3333,13.3333
"Azerbaijan",5.208,1.043,1.147,0.769,0.351,40.5,47.5
"Bahrain",6.199,1.362,1.368,0.871,0.536,26,50.55
"Bangladesh",4.456,0.562,0.928,0.723,0.527,24,90
"Belarus",5.323,1.067,1.465,0.789,0.235,53,28
"Belgium",6.923,1.356,1.504,0.986,0.473,50.8333,4
"Benin",4.883,0.393,0.437,0.397,0.349,9.5,2.25
"Bhutan",5.082,0.813,1.321,0.604,0.457,27.5,90.5
"Bosnia and Herzegovina",5.386,0.945,1.212,0.845,0.212,44,18
"Botswana",3.488,1.041,1.145,0.538,0.455,-22,24
"Brazil",6.3,1.004,1.439,0.802,0.39,-10,-55
"Bulgaria",5.011,1.092,1.513,0.815,0.311,43,25
"Burkina Faso",4.587,0.331,1.056,0.38,0.255,13,-2
"Burundi",3.775,0.046,0.447,0.38,0.22,-3.5,30
"Cambodia",4.7,0.574,1.122,0.637,0.609,13,105
"Cameroon",5.044,0.549,0.91,0.331,0.381,6,12
"Canada",7.278,1.365,1.505,1.039,0.584,60,-95
"Central African Republic",3.083,0.026,0,0.105,0.225,7,21
"Chad",4.35,0.35,0.766,0.192,0.174,15,19
"Chile",6.444,1.159,1.369,0.92,0.357,-30,-71
"China",5.191,1.029,1.125,0.893,0.521,35,105
"Colombia",6.125,0.985,1.41,0.841,0.47,4,-72
"Comoros",3.973,0.274,0.757,0.505,0.142,-12.1667,44.25
"Costa Rica",7.167,1.034,1.441,0.963,0.558,10,-84
"Croatia",5.432,1.155,1.266,0.914,0.296,45.1667,15.5
"Cyprus",6.046,1.263,1.223,1.042,0.406,35,33
"Czech Republic",6.852,1.269,1.487,0.92,0.457,49.75,15.5
"Denmark",7.6,1.383,1.573,0.996,0.592,56,10
"Dominican Republic",5.425,1.015,1.401,0.779,0.497,19,-70.6667
"Ecuador",6.028,0.912,1.312,0.868,0.498,-2,-77.5
"Egypt",4.166,0.913,1.039,0.644,0.241,27,30
"El Salvador",6.253,0.794,1.242,0.789,0.43,13.8333,-88.9167
"Estonia",5.893,1.237,1.528,0.874,0.495,59,26
"Ethiopia",4.286,0.336,1.033,0.532,0.344,8,38
"Finland",7.769,1.34,1.587,0.986,0.596,64,26
"France",6.592,1.324,1.472,1.045,0.436,46,2
"Gabon",4.799,1.057,1.183,0.571,0.295,-1,11.75
"Gambia",4.516,0.308,0.939,0.428,0.382,13.4667,-16.5667
"Georgia",4.519,0.886,0.666,0.752,0.346,42,43.5
"Germany",6.985,1.373,1.454,0.987,0.495,51,9
"Ghana",4.996,0.611,0.868,0.486,0.381,8,-2
"Greece",5.287,1.181,1.156,0.999,0.067,39,22
"Guatemala",6.436,0.8,1.269,0.746,0.535,15.5,-90.25
"Guinea",4.534,0.38,0.829,0.375,0.332,11,-10
"Haiti",3.597,0.323,0.688,0.449,0.026,19,-72.4167
"Honduras",5.86,0.642,1.236,0.828,0.507,15,-86.5
"Hong Kong",5.43,1.438,1.277,1.122,0.44,22.25,114.1667
"Hungary",5.758,1.201,1.41,0.828,0.199,47,20
"Iceland",7.494,1.38,1.624,1.026,0.591,65,-18
"India",4.015,0.755,0.765,0.588,0.498,20,77
"Indonesia",5.192,0.931,1.203,0.66,0.491,-5,120
"Iraq",4.437,1.043,0.98,0.574,0.241,33,44
"Ireland",7.021,1.499,1.553,0.999,0.516,53,-8
"Israel",7.139,1.276,1.455,1.029,0.371,31.5,34.75
"Italy",6.223,1.294,1.488,1.039,0.231,42.8333,12.8333
"Jamaica",5.89,0.831,1.478,0.831,0.49,18.25,-77.5
"Japan",5.886,1.327,1.419,1.088,0.445,36,138
"Jordan",4.906,0.837,1.225,0.815,0.383,31,36
"Kazakhstan",5.809,1.173,1.508,0.729,0.41,48,68
"Kenya",4.509,0.512,0.983,0.581,0.431,1,38
"Kuwait",6.021,1.5,1.319,0.808,0.493,29.3375,47.6581
"Kyrgyzstan",5.261,0.551,1.438,0.723,0.508,41,75
"Latvia",5.94,1.187,1.465,0.812,0.264,57,25
"Lebanon",5.197,0.987,1.224,0.815,0.216,33.8333,35.8333
"Lesotho",3.802,0.489,1.169,0.168,0.359,-29.5,28.5
"Liberia",3.975,0.073,0.922,0.443,0.37,6.5,-9.5
"Lithuania",6.149,1.238,1.515,0.818,0.291,56,24
"Luxembourg",7.09,1.609,1.479,1.012,0.526,49.75,6.1667
"Madagascar",3.933,0.274,0.916,0.555,0.148,-20,47
"Malawi",3.41,0.191,0.56,0.495,0.443,-13.5,34
"Malaysia",5.339,1.221,1.171,0.828,0.508,2.5,112.5
"Mali",4.39,0.385,1.105,0.308,0.327,17,-4
"Malta",6.726,1.3,1.52,0.999,0.564,35.8333,14.5833
"Mauritania",4.49,0.57,1.167,0.489,0.066,20,-12
"Mauritius",5.888,1.12,1.402,0.798,0.498,-20.2833,57.55
"Mexico",6.595,1.07,1.323,0.861,0.433,23,-102
"Mongolia",5.285,0.948,1.531,0.667,0.317,46,105
"Montenegro",5.523,1.051,1.361,0.871,0.197,42,19
"Morocco",5.208,0.801,0.782,0.782,0.418,32,-5
"Mozambique",4.466,0.204,0.986,0.39,0.494,-18.25,35
"Myanmar",4.36,0.71,1.181,0.555,0.525,22,98
"Namibia",4.639,0.879,1.313,0.477,0.401,-22,17
"Nepal",4.913,0.446,1.226,0.677,0.439,28,84
"Netherlands",7.488,1.396,1.522,0.999,0.557,52.5,5.75
"New Zealand",7.307,1.303,1.557,1.026,0.585,-41,174
"Nicaragua",6.105,0.694,1.325,0.835,0.435,13,-85
"Niger",4.628,0.138,0.774,0.366,0.318,16,8
"Nigeria",5.265,0.696,1.111,0.245,0.426,10,8
"Norway",7.554,1.488,1.582,1.028,0.603,62,10
"Pakistan",5.653,0.677,0.886,0.535,0.313,30,70
"Panama",6.321,1.149,1.442,0.91,0.516,9,-80
"Paraguay",5.743,0.855,1.475,0.777,0.514,-23,-58
"Peru",5.697,0.96,1.274,0.854,0.455,-10,-76
"Philippines",5.631,0.807,1.293,0.657,0.558,13,122
"Poland",6.182,1.206,1.438,0.884,0.483,52,20
"Portugal",5.693,1.221,1.431,0.999,0.508,39.5,-8
"Qatar",6.374,1.684,1.313,0.871,0.555,25.5,51.25
"Romania",6.07,1.162,1.232,0.825,0.462,46,25
"Rwanda",3.334,0.359,0.711,0.614,0.555,-2,30
"Saudi Arabia",6.375,1.403,1.357,0.795,0.439,25,45
"Senegal",4.681,0.45,1.134,0.571,0.292,14,-14
"Serbia",5.603,1.004,1.383,0.854,0.282,44,21
"Sierra Leone",4.374,0.268,0.841,0.242,0.309,8.5,-11.5
"Singapore",6.262,1.572,1.463,1.141,0.556,1.3667,103.8
"Slovakia",6.198,1.246,1.504,0.881,0.334,48.6667,19.5
"Slovenia",6.118,1.258,1.523,0.953,0.564,46,15
"Somalia",4.668,0,0.698,0.268,0.559,10,49
"South Africa",4.722,0.96,1.351,0.469,0.389,-29,24
"South Sudan",2.853,0.306,0.575,0.295,0.01,8,30
"Spain",6.354,1.286,1.484,1.062,0.362,40,-4
"Sri Lanka",4.366,0.949,1.265,0.831,0.47,7,81
"Swaziland",4.212,0.811,1.149,0,0.313,-26.5,31.5
"Sweden",7.343,1.387,1.487,1.009,0.574,62,15
"Switzerland",7.48,1.452,1.526,1.052,0.572,47,8
"Tajikistan",5.467,0.493,1.098,0.718,0.389,39,71
"Thailand",6.008,1.05,1.409,0.828,0.557,15,100
"Togo",4.085,0.275,0.572,0.41,0.293,8,1.1667
"Tunisia",4.461,0.921,1,0.815,0.167,34,9
"Turkey",5.373,1.183,1.36,0.808,0.195,39,35
"Turkmenistan",5.247,1.052,1.538,0.657,0.394,40,60
"Uganda",4.189,0.332,1.069,0.443,0.356,1,32
"Ukraine",4.332,0.82,1.39,0.739,0.178,49,32
"United Arab Emirates",6.825,1.503,1.31,0.825,0.598,24,54
"United Kingdom",7.054,1.333,1.538,0.996,0.45,54,-2
"United States",6.892,1.433,1.457,0.874,0.454,38,-97
"Uruguay",6.293,1.124,1.465,0.891,0.523,-33,-56
"Uzbekistan",6.174,0.745,1.529,0.756,0.631,41,64
"Yemen",3.38,0.287,1.163,0.463,0.143,15,48
"Zambia",4.107,0.578,1.058,0.426,0.431,-15,30
"Zimbabwe",3.663,0.366,1.114,0.433,0.361,-20,30
